PHONE_NUM,MAIL_ADDR,TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX,contect_num,contect_mail,age,job,marital,education,df,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous
015-0134-1961,0tof23ed1fpwipa@gmail.com,1,나주,성인,출장,45,관리자,참가증,20210909,"M",015-0134-1961,0tof23ed1fpwipa@gmail.com,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0
015-0134-2777,0tp739o88ra@frontier.com,1,나주,성인,출장,50,관리자,참가증,20210909,"M",015-0134-2777,0tp739o88ra@frontier.com,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0
015-0134-3726,0tq1n@charter.com,1,나주,성인,출장,30,관리자,3등급,20210909,"F",015-0134-3726,0tq1n@charter.com,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0
015-0134-4619,0tr5xosgw5cs@frontier.net,3,영동,청소년,출장,16,관리자,참가증,20210909,"M",015-0134-4619,0tr5xosgw5cs@frontier.net,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0
015-0134-5454,0trx3qa@frontier.net,3,영동,청소년,출장,16,관리자,1등급,20210909,"M",015-0134-5454,0trx3qa@frontier.net,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0
015-0134-6212,0tso8l3m91ykr@yahoo.gov,2,강릉,성인,출장,21,관리자,2등급,20210909,"F",015-0134-6212,0tso8l3m91ykr@yahoo.gov,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0
015-0139-6331,0uxatzxl@outlook.net,1,계룡,성인,일반,21,관리자,3등급,20210909,"M",015-0139-6331,0uxatzxl@outlook.net,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0
015-0134-6779,0ttd0luct8ssjtlh9qoj@frontier.net,4,창원마산회원,노인,출장,75,관리자,3등급,20210907,"F",015-0134-6779,0ttd0luct8ssjtlh9qoj@frontier.net,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0
015-0134-7448,0tuadpt1rl6@gmail.gov,1,계룡,성인,일반,22,관리자,참가증,20210909,"M",015-0134-7448,0tuadpt1rl6@gmail.gov,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0
015-0134-8668,0tv2bpjnws6ldqc@yahoo.org,4,창원마산회원,노인,출장,71,관리자,1등급,20210907,"M",015-0134-8668,0tv2bpjnws6ldqc@yahoo.org,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0
015-0134-9426,0tvp0qln7n4rx7ru7@frontier.net,1,서초,노인,출장,72,관리자,참가증,20210909,"M",015-0134-9426,0tvp0qln7n4rx7ru7@frontier.net,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0
015-0135-0465,0twgu5t@gmail.org,1,수원,성인,일반,31,관리자,참가증,20210909,"F",015-0135-0465,0twgu5t@gmail.org,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0
015-0135-1232,0txfm@outlook.org,1,사상,성인,일반,19,관리자,참가증,20210909,"M",015-0135-1232,0txfm@outlook.org,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0
015-0135-2006,0ty6oj@frontier.net,3,서초,노인,출장,75,관리자,참가증,20210909,"F",015-0135-2006,0ty6oj@frontier.net,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0
015-0135-3048,0tyulknyjk5@verizon.com,2,서초,노인,출장,77,관리자,3등급,20210909,"F",015-0135-3048,0tyulknyjk5@verizon.com,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0
015-0135-4097,0tzl54aqeu4qzscsq73x@hotmail.org,2,세종,노인,출장,66,관리자,참가증,20210909,"F",015-0135-4097,0tzl54aqeu4qzscsq73x@hotmail.org,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0
